date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:16	60404/60404	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ebf4-hH3/iZtbz47kNOOJ4qkQuh26128%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.min.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.min.js	(from https://azurlane.nagami.moe/live2d-viewer)
23:51:16	130480/130480	---M--	200	added ('OK')	font/woff2	etag:W/%221fdb0-w4wl6uW/gZY6M662dWt6ozwESpo%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-icons.woff2?b4ccbd261d7ba256f41b772c22def48d	D:/website%20cloning/azurlane%20live2d%20viewer/azure/cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-iconsfcb1.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css)
23:51:16	176180/176180	---M--	200	added ('OK')	font/woff	etag:W/%222b034-jIVq5lLxbaaYp8jGUJ5pEjJXikc%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-icons.woff?b4ccbd261d7ba256f41b772c22def48d	D:/website%20cloning/azurlane%20live2d%20viewer/azure/cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-iconsfcb1.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css)
23:51:17	26811/26811	---MCZ	200	added ('OK')	text/javascript	etag:W/%229627-1745549462754%22	https://azurlane.nagami.moe/_app/immutable/chunks/entry.BYvWcdEW.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/chunks/entry.BYvWcdEW.js	(from https://azurlane.nagami.moe/)
23:51:17	9154/9154	---MCZ	200	added ('OK')	text/javascript	etag:W/%223225-1745479466903%22	https://azurlane.nagami.moe/_app/immutable/chunks/scheduler.BbKTZcWz.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/chunks/scheduler.BbKTZcWz.js	(from https://azurlane.nagami.moe/)
23:51:17	451/451	---MCZ	200	added ('OK')	text/javascript	etag:W/%22282-1743514765282%22	https://azurlane.nagami.moe/_app/immutable/chunks/index.BSENuaMD.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/chunks/index.BSENuaMD.js	(from https://azurlane.nagami.moe/)
23:51:17	336/336	---MCZ	200	added ('OK')	text/javascript	etag:W/%22161-1740110011596%22	https://azurlane.nagami.moe/_app/immutable/chunks/control.CYgJF_JY.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/chunks/control.CYgJF_JY.js	(from https://azurlane.nagami.moe/)
23:51:17	1141/1141	---MCZ	200	added ('OK')	text/javascript	etag:W/%22568-1745549462762%22	https://azurlane.nagami.moe/_app/immutable/chunks/preload-helper.C1FmrZbK.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/chunks/preload-helper.C1FmrZbK.js	(from https://azurlane.nagami.moe/)
23:51:17	5750/5750	---MCZ	200	added ('OK')	text/javascript	etag:W/%222583-1745549462750%22	https://azurlane.nagami.moe/_app/immutable/chunks/index.BOV0F7y4.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/chunks/index.BOV0F7y4.js	(from https://azurlane.nagami.moe/)
23:51:18	3279/3279	---MCZ	200	added ('OK')	text/javascript	etag:W/%221890-1745549462762%22	https://azurlane.nagami.moe/_app/immutable/nodes/0.BnSyxxwq.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/nodes/0.BnSyxxwq.js	(from https://azurlane.nagami.moe/)
23:51:18	233/233	---MCZ	200	added ('OK')	text/javascript	etag:W/%22138-1745549462762%22	https://azurlane.nagami.moe/_app/immutable/chunks/stores.4U0m8QIH.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/chunks/stores.4U0m8QIH.js	(from https://azurlane.nagami.moe/)
23:51:18	1928/1928	---MCZ	200	added ('OK')	text/javascript	etag:W/%22930-1745549462766%22	https://azurlane.nagami.moe/_app/immutable/nodes/2.O1OziKUM.js	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/nodes/2.O1OziKUM.js	(from https://azurlane.nagami.moe/)
23:51:18	10650/10650	---M--	200	added ('OK')	audio/ogg	etag:W/%2210650-1745549460006%22	https://azurlane.nagami.moe/Saratoga_Sec2JP.ogg	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/Saratoga_Sec2JP.ogg	(from https://azurlane.nagami.moe/)
23:51:19	1677888/1677888	---M--	200	added ('OK')	image/png	etag:W/%221677888-1745549460242%22	https://azurlane.nagami.moe/images/salatuojia_7.png	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/images/salatuojia_7.png	(from https://azurlane.nagami.moe/)
23:51:19	71106/71106	---M--	200	added ('OK')	image/png	etag:W/%2271106-1745549460242%22	https://azurlane.nagami.moe/images/mybelovedwaifu.png	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/images/mybelovedwaifu.png	(from https://azurlane.nagami.moe/)
